date#training#left-handed#age#gender#participant#TrialNumber#from#to#ran#order#trial_data
2018_Apr_29_1101#True#False#20#female#28#1#2#0#1.0#0.0#[[2, 2, 3, 7.28387397096958], [3, 0, 5, 12.772193168988451], [5, 0, 3, 1.091435412003193], [3, 1, 5, 1.234151390963234], [5, 1, 2, 0.9788015600061044], [2, 2, 3, 2.0379640559549443], [3, 2, 0, 0.4855244319769554]]
2018_Apr_29_1101#True#False#20#female#28#2#1#2#1.0#1.0#[[1, 0, 3, 4.712784703006037], [3, 1, 5, 3.6509693930274807], [5, 1, 2, 1.7764350380166434]]
2018_Apr_29_1101#True#False#20#female#28#3#1#2#1.0#2.0#[[1, 0, 4, 4.062772687990218], [4, 1, 5, 1.2834387780167162], [5, 1, 2, 0.6900097079924308]]
2018_Apr_29_1101#True#False#20#female#28#4#0#1#1.0#3.0#[[0, 2, 4, 2.229275850986596], [4, 2, 5, 0.5975353220128454], [5, 2, 4, 0.5040647889836691], [4, 1, 5, 0.8869619420147501], [5, 1, 2, 0.2541826760279946], [2, 0, 4, 2.2634147750213742], [4, 0, 3, 0.6613474570331164], [3, 0, 4, 0.7822628839639947], [4, 1, 1, 0.2972643319517374]]
2018_Apr_29_1101#True#False#20#female#28#5#1#2#1.0#4.0#[[1, 0, 4, 2.140112978988327], [4, 1, 5, 0.7682281190063804], [5, 1, 2, 0.6756435519782826]]
2018_Apr_29_1101#True#False#20#female#28#6#2#0#1.0#5.0#[[2, 2, 3, 1.3357584479963407], [3, 2, 5, 3.2759105429868214], [5, 2, 2, 1.4415167330298573], [2, 2, 3, 0.41770026402082294], [3, 2, 0, 0.356163183983881]]
2018_Apr_29_1101#True#False#20#female#28#7#0#1#1.0#6.0#[[0, 0, 5, 0.6450155829661526], [5, 1, 4, 0.23730993404751644], [4, 1, 5, 0.34346491395263], [5, 1, 2, 0.6129414279712364], [2, 1, 5, 0.23908596899127588], [5, 1, 2, 0.28883745096391067], [2, 1, 5, 0.24059155501890928], [5, 1, 3, 0.36250534700229764], [3, 1, 5, 0.2629715150105767], [5, 1, 2, 0.19148599304025993], [2, 1, 3, 0.15527997695608065], [3, 1, 5, 0.26455321098910645], [5, 1, 2, 0.39308869099477306], [2, 0, 5, 0.5007927209953777], [5, 0, 4, 0.19555503700394183], [4, 0, 3, 0.22278070799075067], [3, 0, 4, 0.24905836599646136], [4, 1, 5, 0.3304855679743923], [5, 1, 2, 0.18409198097651824], [2, 1, 5, 0.8682565860217437], [5, 2, 4, 0.21160128101473674], [4, 2, 3, 0.24613707297248766], [3, 2, 0, 0.5914555070339702], [0, 2, 4, 0.17900407197885215], [4, 0, 1, 0.7428391890134662]]
2018_Apr_29_1101#True#False#20#female#28#8#2#0#1.0#7.0#[[2, 2, 3, 5.391951099969447], [3, 2, 0, 1.5098614919697866]]
2018_Apr_29_1101#True#False#20#female#28#9#2#0#1.0#8.0#[[2, 2, 3, 0.6472278209985234], [3, 2, 0, 0.2640973699744791]]
2018_Apr_29_1101#True#False#20#female#28#10#0#1#1.0#9.0#[[0, 0, 3, 5.052146180998534], [3, 1, 5, 0.30415669904323295], [5, 1, 2, 0.30283393600257114], [2, 1, 5, 0.23007864400278777], [5, 1, 3, 0.20011905999854207], [3, 1, 5, 0.22725827700924128], [5, 1, 2, 0.37280955602182075], [2, 1, 5, 0.2653097159927711], [5, 1, 2, 1.185941023984924], [2, 2, 3, 0.33271181798772886], [3, 2, 0, 0.3142726530204527], [0, 2, 4, 0.34461276896763593], [4, 2, 1, 0.21393477299716324]]
2018_Apr_29_1101#True#False#20#female#28#11#1#2#1.0#10.0#[[1, 0, 3, 0.036215744039509445], [3, 1, 5, 0.1419655719655566], [5, 1, 2, 0.06000074901385233]]
2018_Apr_29_1101#True#False#20#female#28#12#2#0#1.0#11.0#[[2, 2, 4, 2.368998977006413], [4, 2, 1, 0.1789554749848321], [1, 2, 3, 0.24728785798652098], [3, 2, 4, 0.2242090490180999], [4, 2, 1, 0.18670211697462946], [1, 0, 3, 5.094874311995227], [3, 0, 4, 0.27291707799304277], [4, 0, 1, 0.6734231400187127], [1, 1, 3, 0.28953822498442605], [3, 1, 0, 0.21743405202869326]]
2018_Apr_29_1101#True#False#20#female#28#13#1#2#1.0#12.0#[[1, 1, 4, 0.463288233964704], [4, 1, 5, 0.14393863698933274], [5, 1, 2, 0.1170372010092251]]
2018_Apr_29_1101#True#False#20#female#28#14#0#1#1.0#13.0#[[0, 0, 5, 1.3914009649888612], [5, 0, 4, 1.28193811501842], [4, 0, 3, 0.47223833098541945], [3, 1, 5, 0.18482662102906033], [5, 1, 2, 0.19677401497028768], [2, 1, 5, 0.2638328489847481], [5, 1, 4, 0.20841066999128088], [4, 1, 1, 0.2754340579849668]]
2018_Apr_29_1101#True#False#20#female#28#15#0#1#1.0#14.0#[[0, 0, 3, 1.2158708439674228], [3, 0, 4, 0.8731525770272128], [4, 1, 5, 0.01684922003187239], [5, 1, 2, 0.2516084469971247], [2, 1, 5, 0.228969608026091], [5, 1, 4, 0.39066978998016566], [4, 1, 1, 0.2022737759980373]]
