date#training#left-handed#age#gender#participant#TrialNumber#from#to#ran#order#trial_data
2018_Apr_22_1502#True#False#23#male#16#1#0#1#1.0#0.0#[[0, 2, 4, 19.338695963000646], [4, 2, 1, 21.5397130450001]]
2018_Apr_22_1502#True#False#23#male#16#2#2#0#1.0#1.0#[[2, 0, 3, 19.981813063999653], [3, 0, 5, 2.6047245640002075], [5, 0, 2, 0.9333899449993623], [2, 2, 4, 1.9625697100000252], [4, 2, 1, 0.7093570650013135], [1, 2, 3, 0.516215268000451], [3, 1, 4, 0.48248022299958393], [4, 1, 1, 0.24212565800007724], [1, 1, 5, 0.468081560000428], [5, 1, 3, 0.6522825299998658], [3, 1, 4, 1.4928905540000414], [4, 2, 5, 1.2998012970001582], [5, 2, 4, 0.6813136250002572], [4, 2, 1, 0.9843940030004887], [1, 0, 3, 0.451483441000164], [3, 0, 4, 0.45245816500028013], [4, 0, 1, 0.4294075409998186], [1, 0, 4, 0.5190380399999412], [4, 0, 5, 0.7651007000004029], [5, 2, 4, 0.11307668300105433], [4, 2, 1, 0.3117046459992707], [1, 2, 3, 0.29413442999975814], [3, 2, 0, 0.549822678000055]]
2018_Apr_22_1502#True#False#23#male#16#3#1#2#1.0#2.0#[[1, 1, 5, 2.310310457000014], [5, 1, 4, 0.4512062710000464], [4, 1, 3, 1.0361678779991053], [3, 1, 0, 0.6607777440003701], [0, 1, 3, 0.525957345000279], [3, 1, 5, 0.5161706889994093], [5, 1, 3, 0.5782189469991863], [3, 2, 5, 0.838353688001007], [5, 2, 4, 0.431640373000846], [4, 2, 1, 0.5288939679994655], [1, 2, 3, 0.37454102000083367], [3, 2, 0, 0.5230643459999555], [0, 2, 5, 0.4571736179987056], [5, 0, 2, 0.650009722001414]]
2018_Apr_22_1502#True#False#23#male#16#4#2#0#1.0#3.0#[[2, 2, 4, 3.08665596299943], [4, 2, 1, 1.371033945999443], [1, 2, 3, 0.7504005730006611], [3, 2, 0, 0.6189839680009754]]
2018_Apr_22_1502#True#False#23#male#16#5#0#1#1.0#4.0#[[0, 2, 5, 1.8085740959995746], [5, 2, 4, 0.3061219479986903], [4, 2, 1, 0.35309259799942083]]
2018_Apr_22_1502#True#False#23#male#16#6#1#2#1.0#5.0#[[1, 0, 3, 2.5696743259995856], [3, 0, 4, 1.363745791999463], [4, 0, 5, 0.5031026720007503], [5, 0, 4, 0.3021527220007556], [4, 0, 5, 0.29314127799989365], [5, 0, 2, 0.25275695899836137]]
2018_Apr_22_1502#True#False#23#male#16#7#0#1#1.0#6.0#[[0, 0, 4, 0.9218688960008876], [4, 0, 5, 0.7114727749994927], [5, 0, 2, 0.34136083599878475], [2, 0, 3, 0.5391366720014048], [3, 0, 0, 0.33666374000131327], [0, 0, 4, 0.44630029700056184], [4, 0, 5, 0.3430236000003788], [5, 0, 3, 0.3328978999998071], [3, 0, 4, 0.32254634399942006], [4, 0, 5, 0.2009959160004655], [5, 0, 2, 0.37237694000032207], [2, 2, 4, 0.5606804979997833], [4, 2, 1, 0.25336882100054936]]
2018_Apr_22_1502#True#False#23#male#16#8#2#0#1.0#7.0#[[2, 2, 4, 0.66643999200096], [4, 2, 1, 0.5382421609992889], [1, 2, 4, 0.7438994040003308], [4, 2, 1, 0.79724023900053], [1, 2, 3, 0.5117344109985424], [3, 2, 0, 0.3578969390000566]]
2018_Apr_22_1502#True#False#23#male#16#9#2#0#1.0#8.0#[[2, 1, 5, 0.8946329310001602], [5, 1, 3, 0.5341117549996852], [3, 1, 0, 0.3713593749998836]]
2018_Apr_22_1502#True#False#23#male#16#10#1#2#1.0#9.0#[[1, 0, 4, 1.499468996998985], [4, 0, 5, 0.21701604000008956], [5, 0, 2, 0.4437685029988643]]
2018_Apr_22_1502#True#False#23#male#16#11#0#1#1.0#10.0#[[0, 2, 5, 0.48075000800054113], [5, 2, 4, 0.05628652799896372], [4, 2, 5, 0.1139339609999297], [5, 2, 4, 0.27238158699947235], [4, 2, 1, 0.18498964900027204]]
2018_Apr_22_1502#True#False#23#male#16#12#0#1#1.0#11.0#[[0, 2, 5, 0.2645490799986874], [5, 2, 4, 0.2569875389999652], [4, 2, 1, 0.32220741999844904]]
2018_Apr_22_1502#True#False#23#male#16#13#2#0#1.0#12.0#[[2, 1, 5, 0.6526833620009711], [5, 1, 3, 0.09298525600024732], [3, 1, 0, 0.21317855099914595]]
2018_Apr_22_1502#True#False#23#male#16#14#1#2#1.0#13.0#[[1, 0, 4, 0.22742589600056817], [4, 0, 1, 0.17294597399995837], [1, 0, 5, 0.1376320509989455], [5, 0, 2, 0.24791596700015361]]
2018_Apr_22_1502#True#False#23#male#16#15#1#2#1.0#14.0#[[1, 1, 5, 0.34877350500028115], [5, 1, 3, 0.8338231100005942], [3, 1, 4, 1.002918447000411], [4, 1, 1, 0.3332275339998887], [1, 1, 3, 0.37876916999994137], [3, 1, 4, 0.3423350390003179], [4, 1, 3, 0.43609081100112235], [3, 1, 4, 0.21404293299929122], [4, 1, 3, 0.43229439800052205], [3, 2, 0, 0.6418788029986899], [0, 2, 5, 0.23538388199995097], [5, 2, 4, 0.29318394900110434], [4, 2, 5, 0.23700714700134995], [5, 2, 4, 0.2389175799999066], [4, 2, 1, 0.3127344100012124], [1, 0, 4, 0.31905386399921554], [4, 0, 5, 0.20546126600129355], [5, 0, 2, 0.43268657800035726]]
